TruePersonID,CanonicalName,CanonicalNameKn,Moniker,GenderID,BirthYear,HomeDistrictID,HomeUnitID,MOFamily,TravelPropensity,Quota,ActiveFrom,ActiveTo,GangID,CollisionGroup
P000013,Praveen Puttappa,ಪ್ರವೀಣ ಪುಟ್ಟಪ್ಪ,,1,1964,20,258,murder,0.09,1,2023-02-11,2026-05-10,,
P000014,Ramesh Shivappa,ರಮೇಶ ಶಿವಪ್ಪ,Chota,1,1961,3,36,mobile_snatching,0.09,4,2023-09-28,2024-04-28,,
P000015,Prakash Basappa,ಪ್ರಕಾಶ ಬಸಪ್ಪ,,1,1968,4,52,two_wheeler_theft,0.09,1,2023-11-01,2026-06-30,,
P000016,Manjunath Chennappa,ಮಂಜುನಾಥ ಚೆನ್ನಪ್ಪ,,1,1966,11,141,highway_dacoity,0.09,2,2024-01-17,2026-04-07,,
P000017,Roopa Chennappa,ರೂಪಾ ಚೆನ್ನಪ್ಪ,,2,1970,20,260,murder,0.09,2,2025-11-08,2026-06-30,,
P000018,Manjunath Chennappa,ಮಂಜುನಾಥ ಚೆನ್ನಪ್ಪ,,1,1981,13,162,mobile_snatching,0.09,1,2023-04-17,2023-11-05,,
P000019,Nagesh Siddappa,ನಾಗೇಶ ಸಿದ್ದಪ್ಪ,,1,1991,20,260,chain_snatching,0.09,1,2022-01-09,2022-05-25,,
P000020,Umesh Basappa,ಉಮೇಶ ಬಸಪ್ಪ,,1,1987,11,139,sand_smuggling,0.09,1,2023-11-26,2024-07-24,,
P000021,Manjunath Shivappa,ಮಂಜುನಾಥ ಶಿವಪ್ಪ,,1,2004,22,281,illicit_liquor,0.09,2,2025-02-26,2026-06-30,,
P000022,Geetha Krishnappa,ಗೀತಾ ಕೃಷ್ಣಪ್ಪ,,2,1971,18,227,sand_smuggling,0.42,1,2025-10-23,2026-06-30,,
P000023,Manjunath Ningappa,ಮಂಜುನಾಥ ನಿಂಗಪ್ಪ,,1,1967,3,37,two_wheeler_theft,0.09,1,2023-02-24,2026-03-01,,
P000024,Shivakumar Rangappa,ಶಿವಕುಮಾರ ರಂಗಪ್ಪ,Lorry,1,1967,13,163,mobile_snatching,0.09,3,2022-03-21,2025-07-24,G00123,
P000025,Nanjundappa Mallappa,ನಂಜುಂಡಪ್ಪ ಮಲ್ಲಪ್ಪ,,1,2002,29,364,chain_snatching,0.09,1,2021-03-04,2023-06-03,,
P000026,Ramesh Kempegowda,ರಮೇಶ ಕೆಂಪೇಗೌಡ,,1,1971,17,216,chit_fund_cheating,0.09,1,2024-06-03,2026-06-30,,
P000027,Ramesh Kempegowda,ರಮೇಶ ಕೆಂಪೇಗೌಡ,Gundu,1,1988,15,180,ndps_ganja,0.09,1,2024-01-23,2025-01-17,,
P000028,Prakash Ramegowda,ಪ್ರಕಾಶ ರಾಮೇಗೌಡ,,1,1971,8,98,card_skimming,0.42,2,2025-12-18,2026-06-30,,
P000029,Ravi Somappa,ರವಿ ಸೋಮಪ್ಪ,,1,1975,27,346,card_skimming,0.09,1,2026-01-18,2026-06-30,,
P000030,Santosh Boregowda,ಸಂತೋಷ ಬೋರೇಗೌಡ,,1,1977,27,346,mobile_snatching,0.42,1,2025-11-02,2026-06-30,,
P000031,Ramesh Nagappa,ರಮೇಶ ನಾಗಪ್ಪ,,1,1987,15,186,ndps_ganja,0.09,1,2021-04-26,2022-01-14,,
P000032,Suresh Gurappa,ಸುರೇಶ ಗುರಪ್ಪ,,1,1989,31,404,murder,0.09,1,2022-02-24,2024-02-09,,
P000033,Suresh Doddappa,ಸುರೇಶ ದೊಡ್ಡಪ್ಪ,,1,1988,11,135,illicit_liquor,0.09,3,2023-09-04,2024-05-17,,C0002
P000034,Prakash Ramegowda,ಪ್ರಕಾಶ ರಾಮೇಗೌಡ,,1,1994,5,63,shop_burglary,0.09,1,2022-11-01,2024-02-01,,
P000035,Ramesh Puttappa,ರಮೇಶ ಪುಟ್ಟಪ್ಪ,Bidi,1,1979,31,397,two_wheeler_theft,0.42,2,2022-01-22,2025-12-03,,
P000036,Suresh Gurappa,ಸುರೇಶ ಗುರಪ್ಪ,,1,1998,12,149,chit_fund_cheating,0.09,1,2021-10-21,2023-04-04,,
P000037,Suresh Puttappa,ಸುರೇಶ ಪುಟ್ಟಪ್ಪ,Kabbina,1,2001,19,240,two_wheeler_theft,0.09,1,2023-09-06,2024-07-10,,
P000038,Puttaswamy Krishnappa,ಪುಟ್ಟಸ್ವಾಮಿ ಕೃಷ್ಣಪ್ಪ,,1,1969,16,205,illicit_liquor,0.09,1,2025-02-11,2025-07-16,,
P000039,Basavaraj Krishnappa,ಬಸವರಾಜ ಕೃಷ್ಣಪ್ಪ,,1,1967,29,376,highway_dacoity,0.09,4,2024-06-04,2026-06-30,G00183,
P000040,Doddabasappa Basappa,ದೊಡ್ಡಬಸಪ್ಪ ಬಸಪ್ಪ,,1,2001,14,171,illicit_liquor,0.09,3,2023-02-05,2023-10-13,,
P000041,Manjunath Basappa,ಮಂಜುನಾಥ ಬಸಪ್ಪ,,1,1994,19,241,sand_smuggling,0.09,2,2024-07-01,2026-06-30,,
P000042,Umesh Chennappa,ಉಮೇಶ ಚೆನ್ನಪ್ಪ,,1,2005,22,284,card_skimming,0.09,1,2025-07-19,2026-06-30,,
P000043,Manjunath Basappa,ಮಂಜುನಾಥ ಬಸಪ್ಪ,Dodda,1,1972,1,14,sand_smuggling,0.09,1,2022-10-25,2026-06-30,,
P000044,Umesh Rangappa,ಉಮೇಶ ರಂಗಪ್ಪ,,1,1997,5,63,sand_smuggling,0.09,1,2022-05-14,2023-05-04,,
P000045,Harish Ningappa,ಹರೀಶ ನಿಂಗಪ್ಪ,,1,1990,31,402,highway_dacoity,0.09,2,2025-07-15,2026-06-30,G00097,C0082
P000046,Mallikarjuna Krishnappa,ಮಲ್ಲಿಕಾರ್ಜುನ ಕೃಷ್ಣಪ್ಪ,,1,1975,14,171,card_skimming,0.09,3,2023-09-29,2026-06-30,,
P000047,Harish Basappa,ಹರೀಶ ಬಸಪ್ಪ,,1,1967,6,79,chit_fund_cheating,0.09,1,2025-11-29,2026-04-14,,
P000048,Chandrashekar Muniyappa,ಚಂದ್ರಶೇಖರ ಮುನಿಯಪ್ಪ,,1,1975,4,52,sand_smuggling,0.09,1,2023-05-19,2026-06-30,,
P000049,Venkatesh Basappa,ವೆಂಕಟೇಶ ಬಸಪ್ಪ,Dodda,1,2001,11,141,illicit_liquor,0.09,1,2024-07-11,2026-06-30,,
P000050,Kumar Rangappa,ಕುಮಾರ ರಂಗಪ್ಪ,,1,1983,11,139,chain_snatching,0.09,12,2022-04-24,2026-05-07,,
P000051,Manjunath Basappa,ಮಂಜುನಾಥ ಬಸಪ್ಪ,,1,2001,3,39,cattle_theft,0.09,2,2026-01-06,2026-06-30,,
P000052,Shivakumar Venkatappa,ಶಿವಕುಮಾರ ವೆಂಕಟಪ್ಪ,,1,1967,27,339,illicit_liquor,0.09,1,2025-08-14,2026-06-30,,
P000053,Suresh Hanumappa,ಸುರೇಶ ಹನುಮಪ್ಪ,,1,1989,26,333,chit_fund_cheating,0.09,1,2025-08-31,2026-06-30,,
P000054,Shivakumar Rangappa,ಶಿವಕುಮಾರ ರಂಗಪ್ಪ,,1,1988,12,149,house_break_night,0.09,2,2024-07-14,2026-06-30,G00074,
P000055,Manjunath Krishnappa,ಮಂಜುನಾಥ ಕೃಷ್ಣಪ್ಪ,Chota,1,1994,26,330,cattle_theft,0.09,1,2021-12-16,2023-03-11,,
P000056,Mahesh Krishnappa,ಮಹೇಶ ಕೃಷ್ಣಪ್ಪ,Kuri,1,1991,28,358,highway_dacoity,0.09,3,2025-11-11,2026-06-30,G00070,
P000057,Chandru Ningappa,ಚಂದ್ರು ನಿಂಗಪ್ಪ,,1,1968,22,288,ndps_ganja,0.09,1,2024-07-05,2025-02-17,,
P000058,Nagaraj Krishnappa,ನಾಗರಾಜ ಕೃಷ್ಣಪ್ಪ,,1,1962,4,52,two_wheeler_theft,0.42,2,2023-02-12,2025-05-29,G00050,
P000059,Puttaswamy Mariyappa,ಪುಟ್ಟಸ್ವಾಮಿ ಮಾರಿಯಪ್ಪ,Chikka,1,1971,28,349,hurt_affray,0.09,1,2022-09-11,2023-06-18,,
P000060,Harish Venkatappa,ಹರೀಶ ವೆಂಕಟಪ್ಪ,,1,2003,11,139,house_break_night,0.09,1,2023-05-13,2026-01-29,,
P000061,Ramesh Rangappa,ರಮೇಶ ರಂಗಪ್ಪ,,1,1996,2,33,cattle_theft,0.09,2,2021-11-04,2022-10-30,G00137,
P000062,Manjunath Basappa,ಮಂಜುನಾಥ ಬಸಪ್ಪ,,1,2004,4,51,highway_dacoity,0.09,1,2022-08-25,2026-06-23,,
P000063,Manjunath Krishnappa,ಮಂಜುನಾಥ ಕೃಷ್ಣಪ್ಪ,,1,1962,6,74,cattle_theft,0.09,2,2024-04-01,2026-02-24,,
P000064,Shankar Krishnappa,ಶಂಕರ ಕೃಷ್ಣಪ್ಪ,,1,1961,4,49,two_wheeler_theft,0.09,16,2024-12-20,2026-06-30,G00027,
P000065,Suresh Basappa,ಸುರೇಶ ಬಸಪ್ಪ,Kempu,1,1976,4,48,card_skimming,0.09,1,2023-09-15,2024-09-23,,
P000066,Shivakumar Kempegowda,ಶಿವಕುಮಾರ ಕೆಂಪೇಗೌಡ,,1,1966,22,287,chain_snatching,0.09,2,2022-05-19,2024-05-07,,
P000067,Sharanappa Krishnappa,ಶರಣಪ್ಪ ಕೃಷ್ಣಪ್ಪ,,1,1980,22,287,house_break_night,0.42,2,2023-09-22,2025-05-28,,
P000068,Basavaraj Yamanappa,ಬಸವರಾಜ ಯಮನಪ್ಪ,,1,2000,4,46,highway_dacoity,0.09,3,2024-12-28,2026-06-30,,
P000069,Basappa Hanumappa,ಬಸಪ್ಪ ಹನುಮಪ್ಪ,Dodda,1,1963,3,36,sand_smuggling,0.09,1,2024-12-29,2026-06-30,,
P000070,Geetha Krishnappa,ಗೀತಾ ಕೃಷ್ಣಪ್ಪ,,2,2002,4,49,hurt_affray,0.09,3,2021-02-06,2025-03-09,,
P000071,Manjunath Mallappa,ಮಂಜುನಾಥ ಮಲ್ಲಪ್ಪ,Dodda,1,1989,29,371,murder,0.09,1,2021-10-23,2024-11-03,,
P000072,Mahesh Fakirappa,ಮಹೇಶ ಫಕೀರಪ್ಪ,,1,1988,12,152,two_wheeler_theft,0.09,1,2023-05-31,2025-12-29,,
P000073,Siddaraju Doddappa,ಸಿದ್ದರಾಜು ದೊಡ್ಡಪ್ಪ,,1,1974,20,260,chit_fund_cheating,0.09,1,2022-09-24,2026-06-30,,
P000074,Srinivas Kempegowda,ಶ್ರೀನಿವಾಸ ಕೆಂಪೇಗೌಡ,,1,1987,26,330,sand_smuggling,0.42,4,2024-11-28,2026-06-30,,
P000075,Roopa Krishnappa,ರೂಪಾ ಕೃಷ್ಣಪ್ಪ,,2,1977,4,46,murder,0.09,3,2023-08-30,2024-07-02,,
P000076,Ravi Yamanappa,ರವಿ ಯಮನಪ್ಪ,Kadu,1,1983,5,58,chain_snatching,0.09,1,2024-05-06,2026-06-30,,
P000077,Manjunath Ningappa,ಮಂಜುನಾಥ ನಿಂಗಪ್ಪ,,1,1964,16,200,card_skimming,0.42,3,2022-05-09,2024-05-14,,C0040
P000078,Shivakumar Basappa,ಶಿವಕುಮಾರ ಬಸಪ್ಪ,,1,1990,11,137,murder,0.09,1,2022-09-25,2026-05-31,,
P000079,Madhu Nagappa,ಮಧು ನಾಗಪ್ಪ,,1,1987,29,378,illicit_liquor,0.09,4,2025-09-10,2026-06-30,,
P000080,Santosh Siddappa,ಸಂತೋಷ ಸಿದ್ದಪ್ಪ,Dodda,1,1974,16,202,chain_snatching,0.09,3,2025-12-06,2026-06-30,,
P000081,Siddaraju Krishnappa,ಸಿದ್ದರಾಜು ಕೃಷ್ಣಪ್ಪ,Kadu,1,1981,4,46,murder,0.09,2,2023-01-24,2024-12-31,,
P000082,Manjunath Basappa,ಮಂಜುನಾಥ ಬಸಪ್ಪ,,1,1967,16,208,chain_snatching,0.09,2,2025-04-03,2026-06-30,,C0000
P000083,Ravi Mariyappa,ರವಿ ಮಾರಿಯಪ್ಪ,Kadu,1,1984,19,241,ndps_ganja,0.09,1,2023-03-17,2025-09-13,,
P000084,Manjunath Ramegowda,ಮಂಜುನಾಥ ರಾಮೇಗೌಡ,,1,1961,1,12,murder,0.09,4,2024-08-04,2026-04-06,,
P000085,Santosh Siddappa,ಸಂತೋಷ ಸಿದ್ದಪ್ಪ,,1,1963,4,47,cattle_theft,0.09,3,2023-04-10,2024-03-31,,C0001
P000086,Ashok Shivappa,ಅಶೋಕ ಶಿವಪ್ಪ,,1,1966,25,323,illicit_liquor,0.09,1,2025-09-22,2026-06-30,,
P000087,Ganesh Ningappa,ಗಣೇಶ ನಿಂಗಪ್ಪ,,1,1984,4,51,cattle_theft,0.09,4,2025-10-16,2026-06-30,G00035,
P000088,Praveen Shivappa,ಪ್ರವೀಣ ಶಿವಪ್ಪ,,1,2002,22,286,shop_burglary,0.09,10,2025-01-22,2025-07-15,G00004,
P000089,Shivakumar Nagappa,ಶಿವಕುಮಾರ ನಾಗಪ್ಪ,,2,1997,21,274,highway_dacoity,0.09,2,2024-07-07,2025-08-06,,C0036
P000090,Manjunath Ningappa,ಮಂಜುನಾಥ ನಿಂಗಪ್ಪ,,1,1986,20,262,house_break_night,0.09,2,2022-10-14,2025-01-17,G00174,
P000091,Suresh Krishnappa,ಸುರೇಶ ಕೃಷ್ಣಪ್ಪ,,1,1977,9,107,chit_fund_cheating,0.09,1,2022-09-29,2023-05-08,,
P000092,Ramesh Basappa,ರಮೇಶ ಬಸಪ್ಪ,,1,1968,4,52,chit_fund_cheating,0.09,2,2021-05-21,2024-02-24,G00036,C0042
P000093,Shivakumar Krishnappa,ಶಿವಕುಮಾರ ಕೃಷ್ಣಪ್ಪ,Kadu,1,1969,30,394,cattle_theft,0.09,2,2022-08-12,2026-06-30,G00177,
P000094,Shivakumar Basappa,ಶಿವಕುಮಾರ ಬಸಪ್ಪ,Chikka,1,1982,22,288,mobile_snatching,0.09,2,2021-06-01,2024-01-13,G00009,
P000095,Mahesh Ningappa,ಮಹೇಶ ನಿಂಗಪ್ಪ,Dodda,1,1963,10,130,hurt_affray,0.09,5,2025-08-27,2026-06-30,G00115,
P000096,Ramesh Ningappa,ರಮೇಶ ನಿಂಗಪ್ಪ,,1,1980,19,245,cattle_theft,0.09,2,2023-04-05,2025-04-16,,
P000097,Thimmaraju Nagappa,ತಿಮ್ಮರಾಜು ನಾಗಪ್ಪ,Chikka,1,1968,8,98,two_wheeler_theft,0.09,1,2021-10-05,2022-10-09,,
P000098,Chandru Gurappa,ಚಂದ್ರು ಗುರಪ್ಪ,,1,1996,4,52,chain_snatching,0.09,7,2022-10-12,2024-01-25,,
P000099,Nagaratna Hanumappa,ನಾಗರತ್ನ ಹನುಮಪ್ಪ,,2,1978,20,259,highway_dacoity,0.09,2,2022-06-05,2023-06-26,G00173,
P000100,Ravi Timmappa,ರವಿ ತಿಮ್ಮಪ್ಪ,Bidi,1,1998,4,53,hurt_affray,0.09,1,2023-08-20,2024-10-13,,
P000101,Shankar Basappa,ಶಂಕರ ಬಸಪ್ಪ,,1,2003,9,107,chit_fund_cheating,0.09,4,2021-06-02,2022-07-17,,
P000102,Prakash Chennappa,ಪ್ರಕಾಶ ಚೆನ್ನಪ್ಪ,,1,1982,25,316,cattle_theft,0.09,1,2022-07-22,2026-01-12,,
P000103,Ramesh Mariyappa,ರಮೇಶ ಮಾರಿಯಪ್ಪ,,1,1978,22,280,two_wheeler_theft,0.09,2,2021-01-22,2021-06-17,,
P000104,Vijay Basappa,ವಿಜಯ ಬಸಪ್ಪ,Kadu,1,1970,4,49,shop_burglary,0.09,2,2025-02-13,2026-06-30,,
P000105,Siddaraju Venkatappa,ಸಿದ್ದರಾಜು ವೆಂಕಟಪ್ಪ,,1,1965,11,140,chit_fund_cheating,0.09,6,2024-06-05,2026-06-14,G00061,
P000106,Ravi Hanumappa,ರವಿ ಹನುಮಪ್ಪ,,1,1983,22,284,murder,0.09,1,2023-02-28,2023-10-30,,
P000107,Girish Muniyappa,ಗಿರೀಶ ಮುನಿಯಪ್ಪ,,1,1992,5,69,hurt_affray,0.09,6,2024-05-09,2026-06-30,,
P000108,Manjunath Basappa,ಮಂಜುನಾಥ ಬಸಪ್ಪ,,1,1993,21,271,ndps_ganja,0.09,2,2021-06-28,2024-05-20,G00089,
P000109,Somashekar Chennappa,ಸೋಮಶೇಖರ ಚೆನ್ನಪ್ಪ,,1,1969,29,367,murder,0.09,2,2022-08-03,2023-09-04,,
P000110,Shwetha Basappa,ಶ್ವೇತಾ ಬಸಪ್ಪ,,2,2000,4,53,murder,0.09,1,2021-09-17,2024-03-02,,
P000111,Nagesh Eranna,ನಾಗೇಶ ಈರಣ್ಣ,,1,1986,17,224,illicit_liquor,0.09,1,2025-04-07,2026-06-30,,
P000112,Shivakumar Basappa,ಶಿವಕುಮಾರ ಬಸಪ್ಪ,,1,1984,11,135,illicit_liquor,0.09,1,2022-09-16,2025-08-20,,
P000113,Ramesh Krishnappa,ರಮೇಶ ಕೃಷ್ಣಪ್ಪ,,1,1962,4,51,chit_fund_cheating,0.42,1,2023-05-20,2024-10-04,,
P000114,Raju Nagappa,ರಾಜು ನಾಗಪ್ಪ,,1,1965,29,365,ndps_ganja,0.09,2,2023-11-05,2025-12-20,G00183,C0021
P000115,Manjunath Shivappa,ಮಂಜುನಾಥ ಶಿವಪ್ಪ,Kadu,1,1993,11,143,shop_burglary,0.42,1,2023-11-05,2024-08-15,,
P000116,Prakash Shivappa,ಪ್ರಕಾಶ ಶಿವಪ್ಪ,,1,1973,11,136,ndps_ganja,0.09,1,2025-10-14,2026-06-30,,
P000117,Shankar Boregowda,ಶಂಕರ ಬೋರೇಗೌಡ,,1,1968,15,187,chain_snatching,0.09,2,2023-02-28,2024-04-09,,C0023
P000118,Ravi Somappa,ರವಿ ಸೋಮಪ್ಪ,,1,1983,21,273,illicit_liquor,0.09,1,2023-02-19,2025-04-16,,
P000119,Ravi Basappa,ರವಿ ಬಸಪ್ಪ,,1,2004,17,215,card_skimming,0.09,5,2021-05-02,2023-01-14,,
P000120,Sharada Krishnappa,ಶಾರದಾ ಕೃಷ್ಣಪ್ಪ,,2,1961,23,301,highway_dacoity,0.09,3,2024-04-17,2025-04-26,G00196,
P000121,Suresh Lingappa,ಸುರೇಶ ಲಿಂಗಪ್ಪ,,1,1974,24,309,cattle_theft,0.42,1,2022-04-13,2024-06-16,,
P000122,Hanumantha Basappa,ಹನುಮಂತ ಬಸಪ್ಪ,,1,1976,28,360,chain_snatching,0.09,1,2024-01-14,2024-12-31,,
P000123,Ramesh Basappa,ರಮೇಶ ಬಸಪ್ಪ,,1,1982,23,300,ndps_ganja,0.09,1,2022-01-01,2025-12-13,,
P000124,Ramesh Siddappa,ರಮೇಶ ಸಿದ್ದಪ್ಪ,,1,1996,26,332,two_wheeler_theft,0.09,3,2023-06-18,2026-06-30,,
P000125,Ramesh Mallappa,ರಮೇಶ ಮಲ್ಲಪ್ಪ,Auto,1,1993,21,274,sand_smuggling,0.09,1,2025-09-18,2026-06-30,,
P000126,Ramesh Krishnappa,ರಮೇಶ ಕೃಷ್ಣಪ್ಪ,,1,1985,25,319,hurt_affray,0.42,2,2024-01-26,2024-08-02,G00190,
P000127,Savitha Rangappa,ಸವಿತಾ ರಂಗಪ್ಪ,,1,1981,6,79,chain_snatching,0.09,2,2024-12-22,2026-06-30,,C0030
P000128,Manjunath Timmappa,ಮಂಜುನಾಥ ತಿಮ್ಮಪ್ಪ,,1,1989,12,149,ndps_ganja,0.09,1,2024-03-13,2024-12-14,,
P000129,Roopa Kempegowda,ರೂಪಾ ಕೆಂಪೇಗೌಡ,,2,1972,17,224,murder,0.09,1,2021-01-08,2023-04-21,,
P000130,Ravi Sangappa,ರವಿ ಸಂಗಪ್ಪ,,1,1966,4,47,ndps_ganja,0.42,1,2025-11-08,2026-06-30,,
P000131,Lakshmi Muniyappa,ಲಕ್ಷ್ಮಿ ಮುನಿಯಪ್ಪ,,2,1965,5,63,house_break_night,0.09,1,2022-08-26,2024-12-20,,
P000132,Suresh Durgappa,ಸುರೇಶ ದುರ್ಗಪ್ಪ,,1,1976,3,37,cattle_theft,0.09,4,2023-05-01,2025-02-08,,
P000133,Ramesh Siddappa,ರಮೇಶ ಸಿದ್ದಪ್ಪ,,1,1970,18,233,chit_fund_cheating,0.09,1,2021-01-24,2024-03-01,,
P000134,Umesh Chikkegowda,ಉಮೇಶ ಚಿಕ್ಕೇಗೌಡ,,1,1982,11,139,chain_snatching,0.09,1,2022-09-25,2025-11-01,,
P000135,Ramesh Hanumappa,ರಮೇಶ ಹನುಮಪ್ಪ,,1,1999,28,353,ndps_ganja,0.09,1,2023-03-19,2024-06-02,,
P000136,Nagaraj Muniyappa,ನಾಗರಾಜ ಮುನಿಯಪ್ಪ,Chikka,1,1995,30,385,two_wheeler_theft,0.09,2,2022-04-19,2023-01-01,,
P000137,Girish Doddappa,ಗಿರೀಶ ದೊಡ್ಡಪ್ಪ,,1,1996,31,398,chain_snatching,0.09,2,2024-04-24,2026-06-30,,
P000138,Nagaraj Chikkegowda,ನಾಗರಾಜ ಚಿಕ್ಕೇಗೌಡ,,1,1965,6,72,cattle_theft,0.09,1,2024-12-19,2026-06-30,,
P000139,Ashok Puttappa,ಅಶೋಕ ಪುಟ್ಟಪ್ಪ,,1,1984,2,27,house_break_night,0.09,1,2023-04-28,2025-07-01,,
P000140,Naveen Shivappa,ನವೀನ ಶಿವಪ್ಪ,,1,1995,14,175,shop_burglary,0.09,6,2024-05-03,2026-06-30,G00155,
P000141,Manjunath Ningappa,ಮಂಜುನಾಥ ನಿಂಗಪ್ಪ,,1,1984,6,74,chit_fund_cheating,0.09,1,2024-07-27,2026-06-30,,
P000142,Suresh Mallappa,ಸುರೇಶ ಮಲ್ಲಪ್ಪ,Dodda,1,1987,4,48,card_skimming,0.09,1,2022-04-02,2023-04-27,,
P000143,Sunil Shivappa,ಸುನೀಲ ಶಿವಪ್ಪ,,1,1967,19,240,cattle_theft,0.09,4,2025-02-21,2025-09-22,,
P000144,Nagaraj Eranna,ನಾಗರಾಜ ಈರಣ್ಣ,,1,1981,24,311,shop_burglary,0.09,1,2025-08-17,2026-06-30,,
P000145,Hanumantha Timmappa,ಹನುಮಂತ ತಿಮ್ಮಪ್ಪ,,1,1992,11,135,shop_burglary,0.09,1,2021-08-01,2021-12-26,,
P000146,Suresh Ningappa,ಸುರೇಶ ನಿಂಗಪ್ಪ,,1,1962,17,220,card_skimming,0.09,1,2024-03-15,2026-06-30,,
P000147,Ramesh Kempegowda,ರಮೇಶ ಕೆಂಪೇಗೌಡ,,1,1971,8,97,mobile_snatching,0.09,2,2021-10-27,2023-09-08,,
P000148,Suresh Gurappa,ಸುರೇಶ ಗುರಪ್ಪ,,1,2001,30,391,ndps_ganja,0.09,1,2025-08-11,2026-06-30,,
P000149,Rakesh Basappa,ರಾಕೇಶ ಬಸಪ್ಪ,,1,1991,9,107,highway_dacoity,0.09,5,2021-08-09,2022-01-07,G00094,
P000150,Deepak Basappa,ದೀಪಕ ಬಸಪ್ಪ,,1,2003,6,74,mobile_snatching,0.09,1,2025-02-11,2026-06-30,,
P000151,Shankar Nagappa,ಶಂಕರ ನಾಗಪ್ಪ,,1,1971,7,89,cattle_theft,0.09,1,2024-10-02,2026-06-30,,
P000152,Manjunath Rangappa,ಮಂಜುನಾಥ ರಂಗಪ್ಪ,,1,2001,31,399,ndps_ganja,0.09,1,2024-06-18,2025-10-15,,
P000153,Manjunath Doddappa,ಮಂಜುನಾಥ ದೊಡ್ಡಪ್ಪ,,1,1995,28,358,hurt_affray,0.09,4,2024-04-23,2025-06-21,G00069,
P000154,Ravi Basappa,ರವಿ ಬಸಪ್ಪ,,1,1991,19,244,mobile_snatching,0.09,1,2024-02-09,2026-06-30,,
P000155,Suresh Krishnappa,ಸುರೇಶ ಕೃಷ್ಣಪ್ಪ,,1,1988,3,37,hurt_affray,0.09,1,2021-06-16,2023-04-27,,
P000156,Manjunath Basappa,ಮಂಜುನಾಥ ಬಸಪ್ಪ,,1,2005,3,37,sand_smuggling,0.09,1,2022-08-23,2023-04-19,,
P000157,Sunil Ningappa,ಸುನೀಲ ನಿಂಗಪ್ಪ,,1,1961,14,176,illicit_liquor,0.09,1,2021-02-26,2023-12-11,,
P000158,Manjunath Ningappa,ಮಂಜುನಾಥ ನಿಂಗಪ್ಪ,,1,1989,15,183,illicit_liquor,0.42,1,2021-03-16,2022-06-18,,
P000159,Yallappa Siddappa,ಯಲ್ಲಪ್ಪ ಸಿದ್ದಪ್ಪ,,1,1971,4,53,house_break_night,0.09,1,2025-08-06,2026-06-30,,
P000160,Naveen Eranna,ನವೀನ ಈರಣ್ಣ,,1,2002,4,46,ndps_ganja,0.09,3,2021-09-11,2024-11-12,,
P000161,Kiran Siddappa,ಕಿರಣ ಸಿದ್ದಪ್ಪ,Kadu,1,1981,13,164,mobile_snatching,0.09,1,2022-04-12,2025-09-18,,
P000162,Kumar Ningappa,ಕುಮಾರ ನಿಂಗಪ್ಪ,Pailwan,1,1976,28,351,mobile_snatching,0.42,1,2024-01-31,2026-06-30,,
P000163,Manjunath Hanumappa,ಮಂಜುನಾಥ ಹನುಮಪ್ಪ,,1,1961,2,32,highway_dacoity,0.09,4,2025-01-11,2025-11-14,,
