VictimID,CaseMasterID,TruePersonID,RenderedName,CanonicalName,Variant,Script,AgeRecorded,TrueBirthYear
35,400,V000028,ಸವಿತಾ Basappa,Savitha Basappa,MIX_KNGIVEN_LAFATHER,mixed,44,1984
36,401,V000029,B. Rangappa,Bhagya Rangappa,LA_INITIAL_PREFIX,latin,26,2000
37,402,V000024,ಮಂಜುನಾಥ,Manjunath Gurappa,KN_GIVEN,kannada,50,1976
38,411,V000030,U. Durgappa,Umesh Durgappa,LA_INITIAL_PREFIX,latin,51,1970
39,416,V000031,ನಾಗರಾಜ ಯಮನಪ್ಪ,Nagaraj Yamanappa,KN_FULL,kannada,40,1986
40,428,V000032,Hanumantha Krishnappa,Hanumantha Krishnappa,LA_FULL,latin,21,2000
41,429,V000033,ಚಂದ್ರಶೇಖರ,Chandrashekar Shivappa,KN_GIVEN,kannada,36,1990
42,430,V000034,Suneel,Sunil Gurappa,LA_GIVEN,latin,48,1983
43,432,V000035,ಯಶೋದಾ,Yashoda Basappa,KN_GIVEN,kannada,43,1983
44,438,V000036,Ayyappa Somappa,Ayyappa Somappa,LA_FULL,latin,63,1963
45,439,V000037,Suresh s/o. Yamanappa,Suresh Yamanappa,LA_SONOF_DOT,latin,50,1975
46,441,V000026,S. Puttappa,Shivakumar Puttappa,LA_INITIAL_PREFIX,latin,57,1969
47,442,V000038,ಯಶೋದಾ ಲಿಂಗಪ್ಪ,Yashoda Lingappa,KN_FULL,kannada,61,1970
48,443,V000039,ಹರೀಶ Fakirappa,Harish Fakirappa,MIX_KNGIVEN_LAFATHER,mixed,37,1994
49,444,V000021,ಕುಮಾರ ಗುರಪ್ಪ,Kumar Gurappa,KN_FULL,kannada,48,1977
50,445,V000040,ಮಂಜುಳಾ ಗುರಪ್ಪ,Manjula Gurappa,KN_FULL,kannada,55,1971
51,446,V000041,Chandrashekar Krisnappa,Chandrashekar Krishnappa,LA_FULL,latin,22,1999
52,448,V000042,Kiran,Kiran Durgappa,LA_GIVEN,latin,63,1963
53,449,V000043,ರಾಕೇಶ ಬೋರೇಗೌಡ,Rakesh Boregowda,KN_FULL,kannada,36,1990
54,457,V000044,Malleekarjuna ಬೋರೇಗೌಡ,Mallikarjuna Boregowda,MIX_LAGIVEN_KNFATHER,mixed,53,1973
55,466,V000045,ಮಂಜುಳಾ ಚೆನ್ನಪ್ಪ,Manjula Chennappa,KN_FULL,kannada,45,1981
56,467,V000046,Shwetha Hanumappa,Shwetha Hanumappa,LA_FULL,latin,37,1987
57,468,V000047,Sharanapp Sangapa,Sharanappa Sangappa,LA_FULL,latin,21,2003
58,469,V000048,ಹರೀಶ ಬೋರೇಗೌಡ,Harish Boregowda,KN_FULL,kannada,67,1960
59,470,V000049,K. Sangappa,Kavitha Sangappa,LA_INITIAL_PREFIX,latin,32,1995
60,471,V000008,ಶರಣಪ್ಪ ಬಸಪ್ಪ,Sharanappa Basappa,KN_FULL,kannada,38,1993
61,474,V000050,Umesh Mallapa ,Umesh Mallappa,LA_FULL,latin,28,1998
62,475,V000051,Shivakumar,Shivakumar Mallappa,LA_GIVEN,latin,49,1977
63,476,V000052,Lakshmi Venkatappa,Lakshmi Venkatappa,LA_FULL,latin,63,1965
64,481,V000053,ಕಿರಣ ನಿಂಗಪ್ಪ,Kiran Ningappa,KN_FULL,kannada,35,1990
65,493,V000054,Harish S,Harish Sangappa,LA_INITIAL_SUFFIX,latin,47,1984
66,501,V000023,Shobha S/o  Siddappa,Shobha Siddappa,LA_SONOF,latin,56,1971
67,504,V000010,Kiran ಸೋಮಪ್ಪ,Kiran Somappa,MIX_LAGIVEN_KNFATHER,mixed,42,1986
68,505,V000055,Wijayalakshmi Timmappa,Vijayalakshmi Timmappa,LA_FULL,latin,40,1981
69,511,V000056,Santosh Gurappa,Santosh Gurappa,LA_FULL,latin,45,1976
70,525,V000057,Sunil Venkatappa,Sunil Venkatappa,LA_FULL,latin,26,2005
71,600,V000010,Kiran Somappa,Kiran Somappa,LA_FULL,latin,38,1986
72,606,V000058,ಮಹೇಶ ಬೋರೇಗೌಡ,Mahesh Boregowda,KN_FULL,kannada,29,1998
73,607,V000024,Manjunath  G,Manjunath Gurappa,LA_INITIAL_SUFFIX,latin,50,1976
74,609,V000059, Githa,Geetha Durgappa,LA_GIVEN,latin,32,1993
75,610,V000004,ಶೋಭಾ ತಂದೆ ಮಲ್ಲಪ್ಪ,Shobha Mallappa,KN_TANDE,kannada,46,1982
76,652,V000060,ಅರುಣ Sangapa,Arun Sangappa,MIX_KNGIVEN_LAFATHER,mixed,61,1965
77,661,V000061,Geetha Rangappa,Geetha Rangappa,LA_FULL,latin,38,1988
78,684,V000062,ಗಂಗಾಧರ ಕೆಂಪೇಗೌಡ,Gangadhar Kempegowda,KN_FULL,kannada,47,1984
79,686,V000063,ಗಂಗಾಧರ ಸಂಗಪ್ಪ,Gangadhar Sangappa,KN_FULL,kannada,52,1974
80,724,V000064,Nagesh,Nagesh Rangappa,LA_GIVEN,latin,69,1958
81,729,V000065,ನವೀನ ದುರ್ಗಪ್ಪ,Naveen Durgappa,KN_FULL,kannada,42,1985
82,741,V000066,ಅಶೋಕ ಹನುಮಪ್ಪ,Ashok Hanumappa,KN_FULL,kannada,68,1958
83,742,V000067,A Ramegowd,Ambika Ramegowda,LA_INITIAL_PREFIX,latin,35,1991
84,743,V000051,S. Mallappa,Shivakumar Mallappa,LA_INITIAL_PREFIX,latin,51,1977
85,745,V000068,ಶೋಭಾ ತಂದೆ ನಿಂಗಪ್ಪ,Shobha Ningappa,KN_TANDE,kannada,19,2002
86,746,V000069, Geetha S/o Mariyapp,Geetha Mariyappa,LA_SONOF,latin,65,1961
87,747,V000070,Devaraj ಮಾರಿಯಪ್ಪ,Devaraj Mariyappa,MIX_LAGIVEN_KNFATHER,mixed,62,1959
88,749,V000071,Gopala,Gopal Doddappa,LA_GIVEN,latin,56,1969
89,750,V000019,Vijayalakshmi Timmappa,Vijayalakshmi Timmappa,LA_FULL,latin,22,2006
90,766,V000072,Kavitha Chennappa,Kavitha Chennappa,LA_FULL,latin,35,1996
91,767,V000073,ಮಧು  ಸಿದ್ದಪ್ಪ,Madhu Siddappa,KN_FULL,kannada,36,1988
92,769,V000006,Shwetha Ningappa,Shwetha Ningappa,LA_FULL,latin,45,1979
93,770,V000074,C.Sangappa,Chandrashekar Sangappa,LA_INITIAL_PREFIX,latin,43,1983
94,771,V000075,Rekh Y,Rekha Yamanappa,LA_INITIAL_SUFFIX,latin,50,1981
95,773,V000076,Saranappa S/o Boregowda,Sharanappa Boregowda,LA_SONOF,latin,36,1990
96,774,V000077,ಅಂಬಿಕಾ,Ambika Chikkegowda,KN_GIVEN,kannada,37,1990
97,775,V000078,Roopa Puttappa,Roopa Puttappa,LA_FULL,latin,51,1974
98,801,V000079,Veeresh S,Veeresh Shivappa,LA_INITIAL_SUFFIX,latin,61,1967
99,815,V000080,ರಮೇಶ ತಂದೆ ಮಲ್ಲಪ್ಪ,Ramesh Mallappa,KN_TANDE,kannada,16,2006
100,841,V000081,B. Fakirappa,Basappa Fakirappa,LA_INITIAL_PREFIX,latin,50,1971
101,847,V000043,ರಾಕೇಶ Boregowda,Rakesh Boregowda,MIX_KNGIVEN_LAFATHER,mixed,34,1990
102,849,V000082,Nagaratna B,Nagaratna Basappa,LA_INITIAL_SUFFIX,latin,34,1992
103,850,V000083,Shobha Muniyappa,Shobha Muniyappa,LA_FULL,latin,30,1996
104,856,V000084,Basavaraj R,Basavaraj Ramegowda,LA_INITIAL_SUFFIX,latin,55,1976
105,857,V000085,Nages Mariyappa,Nagesh Mariyappa,LA_FULL,latin,29,1997
106,858,V000086,ಪ್ರವೀಣ ,Praveen Somappa,KN_GIVEN,kannada,45,1979
107,859,V000087,Shwetha S/o Chikkegowda,Shwetha Chikkegowda,LA_SONOF,latin,56,1970
108,860,V000088,Venkatesh Hanumappa,Venkatesh Hanumappa,LA_FULL,latin,60,1971
109,861,V000089,Vijayalakshmi,Vijayalakshmi Doddappa,LA_GIVEN,latin,48,1978
110,864,V000090,Siddaraju Chennappa,Siddaraju Chennappa,LA_FULL,latin,42,1984
111,868,V000091,Shobh H,Shobha Hanumappa,LA_INITIAL_SUFFIX,latin,35,1993
112,875,V000092,Yasoda S/o Mallappa,Yashoda Mallappa,LA_SONOF,latin,53,1973
113,891,V000093,ಕವಿತಾ ಶಿವಪ್ಪ,Kavitha Shivappa,KN_FULL,kannada,67,1959
114,908,V000094,H. Fakirappa,Hanumantha Fakirappa,LA_INITIAL_PREFIX,latin,59,1966
115,909,V000095,ಶ್ವೇತಾ Shivapp,Shwetha Shivappa,MIX_KNGIVEN_LAFATHER,mixed,34,1994
116,913,V000096,ಸೋಮಶೇಖರ ತಂದೆ ರಾಮೇಗೌಡ,Somashekar Ramegowda,KN_TANDE,kannada,38,1988
117,914,V000097,SANTOSH CHIKKEGOWD,Santosh Chikkegowda,LA_UPPER,latin,44,1987
118,915,V000098,ರೇಖಾ ಚಿಕ್ಕೇಗೌಡ,Rekha Chikkegowda,KN_FULL,kannada,29,1999
119,916,V000039,HARISH FAKIRAPPA,Harish Fakirappa,LA_UPPER,latin,34,1994
120,917,V000099,ಸುನೀಲ Basappa,Sunil Basappa,MIX_KNGIVEN_LAFATHER,mixed,49,1979
121,920,V000100,Sunil Gurappa,Sunil Gurappa,LA_FULL,latin,59,1972
122,924,V000101,ಕೃಷ್ಣಮೂರ್ತಿ ಮಾರಿಯಪ್ಪ,Krishnamurthy Mariyappa,KN_FULL,kannada,59,1967
123,933,V000102,Dinesh Ningapp,Dinesh Ningappa,LA_FULL,latin,48,1978
124,935,V000103,Manjula Sangappa,Manjula Sangappa,LA_FULL,latin,51,1975
125,936,V000104,S. Venkatappa,Sharada Venkatappa,LA_INITIAL_PREFIX,latin,29,1995
126,954,V000105,ಹರೀಶ ಸಿದ್ದಪ್ಪ,Harish Siddappa,KN_FULL,kannada,24,2002
127,974,V000026,S. Puttappa,Shivakumar Puttappa,LA_INITIAL_PREFIX,latin,55,1969
128,975,V000106,ಮಹಾದೇವ ಬೋರೇಗೌಡ,Mahadev Boregowda,KN_FULL,kannada,64,1962
129,1018,V000107,Kiran,Kiran Sangappa,LA_GIVEN,latin,46,1985
130,1019,V000108,Ashok Mariyappa,Ashok Mariyappa,LA_FULL,latin,49,1972
131,1020,V000109,AshokTimmappa,Ashok Timmappa,LA_FULL,latin,52,1974
132,1034,V000110,ಪ್ರಕಾಶ ತಂದೆ ಚೆನ್ನಪ್ಪ,Prakash Chennappa,KN_TANDE,kannada,67,1959
133,1036,V000111,ಲೋಕೇಶ ತಿಮ್ಮಪ್ಪ,Lokesh Timmappa,KN_FULL,kannada,56,1970
134,1039,V000112,A.‍ Doddappa,Anand Doddappa,LA_INITIAL_PREFIX,latin,47,1978
135,1046,V000113,Girish Rangapa,Girish Rangappa,LA_FULL,latin,58,1970
136,1051,V000114,Yashoda,Yashoda Timmappa,LA_GIVEN,latin,61,1967
137,1055,V000115,ಶಾರದಾ ತಂದೆ ಚೆನ್ನಪ್ಪ,Sharada Chennappa,KN_TANDE,kannada,62,1964
138,1059,V000116,ಸುನೀತಾ ವೆಂಕಟಪ್ಪ,Sunitha Venkatappa,KN_FULL,kannada,49,1977
139,1085,V000117,Timmappa Manjunath,Manjunath Timmappa,LA_REORDER,latin,50,1976
140,1089,V000118,ಗೀತಾ ಮುನಿಯಪ್ಪ,Geetha Muniyappa,KN_FULL,kannada,56,1969
141,1104,V000119,ನಾಗರತ್ನ ಚಿಕ್ಕೇಗೌಡ,Nagaratna Chikkegowda,KN_FULL,kannada,21,2005
142,1109,V000120,Mahesh,Mahesh Yamanappa,LA_GIVEN,latin,57,1969
143,1135,V000002,Y. Sangappa,Yashoda Sangappa,LA_INITIAL_PREFIX,latin,33,1994
144,1155,V000121,ನಾಗೇಶ ನಿಂಗಪ್ಪ,Nagesh Ningappa,KN_FULL,kannada,38,1989
145,1160,V000122,ಪ್ರಕಾಶ ನಿಂಗಪ್ಪ,Prakash Ningappa,KN_FULL,kannada,44,1984
146,1162,V000123,ದೊಡ್ಡಬಸಪ್ಪ ಯಮನಪ್ಪ,Doddabasappa Yamanappa,KN_FULL,kannada,61,1964
147,1166,V000124,Mallikarjuna Durgappa,Mallikarjuna Durgappa,LA_FULL,latin,44,1984
148,1167,V000125,Suresh,Suresh Nagappa,LA_GIVEN,latin,19,2006
149,1170,V000126,PRAKASH DURGAPPA,Prakash Durgappa,LA_UPPER,latin,43,1988
150,1175,V000001,Sharada Gurappa,Sharada Gurappa,LA_FULL,latin,21,2000
151,1184,V000127,Mahesh Ramegowda,Mahesh Ramegowda,LA_FULL,latin,38,1988
152,1185,V000128,ರೂಪಾ ಮಲ್ಲಪ್ಪ,Roopa Mallappa,KN_FULL,kannada,51,1977
153,1186,V000129,D. Muniappa,Doddabasappa Muniyappa,LA_INITIAL_PREFIX,latin,64,1960
154,1187,V000073,M. Siddapa,Madhu Siddappa,LA_INITIAL_PREFIX,latin,39,1988
155,1188,V000130,ನಂಜುಂಡಪ್ಪ ರಂಗಪ್ಪ,Nanjundappa Rangappa,KN_FULL,kannada,21,2000
156,1189,V000131,Goppal S/o Fakirappa,Gopal Fakirappa,LA_SONOF,latin,66,1962
157,1201,V000027,D.K.,Deepak Krishnappa,LA_INITIAL_BOTH,latin,65,1963
158,1203,V000132,Basapp,Basappa Yamanappa,LA_GIVEN,latin,56,1970
159,1204,V000133,M. Gurappa,Manjula Gurappa,LA_INITIAL_PREFIX,latin,57,1970
160,1207,V000046,ಶ್ವೇತಾ ಹನುಮಪ್ಪ,Shwetha Hanumappa,KN_FULL,kannada,38,1987
161,1211,V000134,ಶರಣಪ್ಪ,Sharanappa Chennappa,KN_GIVEN,kannada,26,2001
162,1212,V000015,ಲಕ್ಷ್ಮಿ ಈರಣ್ಣ,Lakshmi Eranna,KN_FULL,kannada,30,1996
163,1233,V000135,R. Doddappa,Rekha Doddappa,LA_INITIAL_PREFIX,latin,32,1989
164,1235,V000136,ಶ್ವೇತಾ,Shwetha Rangappa,KN_GIVEN,kannada,50,1971
165,1236,V000137,ಭಾಗ್ಯ ಬೋರೇಗೌಡ,Bhagya Boregowda,KN_FULL,kannada,24,2004
166,1237,V000123,Doddabasappa Yamanapa,Doddabasappa Yamanappa,LA_FULL,latin,67,1964
167,1239,V000138,Nagaraj,Nagaraj Gurappa,LA_GIVEN,latin,32,1992
168,1240,V000139,Sunitha Krishnappa,Sunitha Krishnappa,LA_FULL,latin,45,1980
169,1242,V000140,Hanumappa Lokesh,Lokesh Hanumappa,LA_REORDER,latin,32,1994
170,1243,V000042,ಕಿರಣ  ದುರ್ಗಪ್ಪ,Kiran Durgappa,KN_FULL,kannada,63,1963
171,1246,V000011,ರಾಜಣ್ಣ ಹನುಮಪ್ಪ,Rajanna Hanumappa,KN_FULL,kannada,30,1996
172,1248,V000141,RenukTimmappa,Renuka Timmappa,LA_FULL,latin,67,1959
173,1275,V000064,ನಾಗೇಶ,Nagesh Rangappa,KN_GIVEN,kannada,73,1958
174,1287,V000037,Suresh Yamanappa,Suresh Yamanappa,LA_FULL,latin,56,1975
175,1289,V000092,Mallappa Yashoda,Yashoda Mallappa,LA_REORDER,latin,55,1973
176,1290,V000006,ಶ್ವೇತಾ,Shwetha Ningappa,KN_GIVEN,kannada,46,1979
177,1303,V000142, Sunitha,Sunitha Ramegowda,LA_GIVEN,latin,29,1996
178,1304,V000143,ಲಕ್ಷ್ಮಿ ,Lakshmi Timmappa,KN_GIVEN,kannada,32,1996
179,1305,V000144,Thimmaraju Hanumappa,Thimmaraju Hanumappa,LA_FULL,latin,50,1981
180,1306,V000145,ಮಲ್ಲಿಕಾರ್ಜುನ,Mallikarjuna Lingappa,KN_GIVEN,kannada,54,1971
181,1323,V000107,ಕಿರಣ ಸಂಗಪ್ಪ,Kiran Sangappa,KN_FULL,kannada,41,1985
182,1328,V000086,P. Somappa ,Praveen Somappa,LA_INITIAL_PREFIX,latin,52,1979
183,1329,V000146,Vijayalaksmi Krishnappa,Vijayalakshmi Krishnappa,LA_FULL,latin,41,1983
184,1330,V000147,Sarada ಚಿಕ್ಕೇಗೌಡ,Sharada Chikkegowda,MIX_LAGIVEN_KNFATHER,mixed,62,1964
185,1331,V000148,Mahesh S/o Eranna,Mahesh Eranna,LA_SONOF,latin,23,2005
186,1332,V000016,GANESH MARIYAPPA,Ganesh Mariyappa,LA_UPPER,latin,40,1986
187,1335,V000149,M. Ningappa ,Manjunath Ningappa,LA_INITIAL_PREFIX,latin,33,1994
188,1339,V000150,Savitha B,Savitha Boregowda,LA_INITIAL_SUFFIX,latin,39,1987
189,1340,V000082,Nagaratna Basappa,Nagaratna Basappa,LA_FULL,latin,33,1992
190,1346,V000028,ಸವಿತಾ ಬಸಪ್ಪ,Savitha Basappa,KN_FULL,kannada,42,1984
191,1358,V000151,Prasad,Prasad Yamanappa,LA_GIVEN,latin,53,1973
192,1379,V000152,Manjunath ದುರ್ಗಪ್ಪ,Manjunath Durgappa,MIX_LAGIVEN_KNFATHER,mixed,60,1966
193,1385,V000153,Rekh Durgappa,Rekha Durgappa,LA_FULL,latin,26,1998
194,1389,V000154,ಗಿರೀಶ ವೆಂಕಟಪ್ಪ,Girish Venkatappa,KN_FULL,kannada,41,1986
195,1390,V000155,Umesh S/o Hanumappa,Umesh Hanumappa,LA_SONOF,latin,55,1971
196,1391,V000156,ಗೀತಾ ತಂದೆ ಬಸಪ್ಪ,Geetha Basappa,KN_TANDE,kannada,52,1969
197,1392,V000157,Sharada Venkatapa,Sharada Venkatappa,LA_FULL,latin,65,1960
198,1393,V000158,Lakshmi S/o Shivappa,Lakshmi Shivappa,LA_SONOF,latin,16,2005
199,1394,V000001,ಶಾರದಾ,Sharada Gurappa,KN_GIVEN,kannada,25,2000
200,1422,V000159,ಲೋಕೇಶ ಮಾರಿಯಪ್ಪ,Lokesh Mariyappa,KN_FULL,kannada,31,2000
201,1430,V000160,Somappa  Ananda,Anand Somappa,LA_REORDER,latin,53,1971
202,1431,V000161,ಲಕ್ಷ್ಮಿ ತಂದೆ ದುರ್ಗಪ್ಪ,Lakshmi Durgappa,KN_TANDE,kannada,25,1999
203,1432,V000162,N. Mallappa,Ningaraj Mallappa,LA_INITIAL_PREFIX,latin,30,2001
204,1457,V000163,Chikkegowda Umesh,Umesh Chikkegowda,LA_REORDER,latin,61,1970
205,1458,V000164,Sunila Venkatappa,Sunil Venkatappa,LA_FULL,latin,36,1990
206,1475,V000165,Manjula S/o Boregowda,Manjula Boregowda,LA_SONOF,latin,67,1959
207,1476,V000166,ಪ್ರವೀಣ ಬಸಪ್ಪ,Praveen Basappa,KN_FULL,kannada,42,1984
208,1477,V000167,Sharada S/o Timmappa,Sharada Timmappa,LA_SONOF,latin,20,2005
209,1484,V000168,Praveen Doddappa,Praveen Doddappa,LA_FULL,latin,21,2005
210,1486,V000051,ಶಿವಕುಮಾರ ಮಲ್ಲಪ್ಪ,Shivakumar Mallappa,KN_FULL,kannada,51,1977
211,1487,V000169,Praveen Muniappa,Praveen Muniyappa,LA_FULL,latin,68,1963
212,1488,V000170,Rakesh,Rakesh Shivappa,LA_GIVEN,latin,32,1999
213,1490,V000171,Sharanappa,Sharanappa Boregowda,LA_GIVEN,latin,16,2006
214,1492,V000172,ಮಧು ಸಂಗಪ್ಪ,Madhu Sangappa,KN_FULL,kannada,25,2001
215,1493,V000173,Vijayalakshmi Fakirappa,Vijayalakshmi Fakirappa,LA_FULL,latin,37,1988
216,1514,V000174,Ashoka Doddappa,Ashok Doddappa,LA_FULL,latin,34,1992
217,1516,V000135,Rekha Doddapp ,Rekha Doddappa,LA_FULL,latin,37,1989
218,1517,V000175,Rakesh Ningappa,Rakesh Ningappa,LA_FULL,latin,68,1958
219,1525,V000176,Yallappa,Yallappa Doddappa,LA_GIVEN,latin,30,1998
220,1526,V000081,ಬಸಪ್ಪ ಫಕೀರಪ್ಪ ,Basappa Fakirappa,KN_FULL,kannada,55,1971
221,1527,V000177,Shivanna Erana,Shivanna Eranna,LA_FULL,latin,51,1974
222,1528,V000178,ಸುನೀತಾ ತಂದೆ ಮಾರಿಯಪ್ಪ,Sunitha Mariyappa,KN_TANDE,kannada,51,1975
223,1534,V000179,Mallikarjuna,Mallikarjuna Fakirappa,LA_GIVEN,latin,43,1983
224,1535,V000180,Nagaratna Basappa,Nagaratna Basappa,LA_FULL,latin,56,1975
225,1536,V000181,Gurappa Sunith,Sunitha Gurappa,LA_REORDER,latin,66,1965
226,1538,V000182,Ayyapp Durgapa,Ayyappa Durgappa,LA_FULL,latin,45,1981
227,1573,V000183,Mahesh Ramegowda,Mahesh Ramegowda,LA_FULL,latin,22,1999
228,1574,V000184,ವಿಜಯಲಕ್ಷ್ಮಿ ಕೃಷ್ಣಪ್ಪ,Vijayalakshmi Krishnappa,KN_FULL,kannada,40,1987
229,1608,V000185,ಲಕ್ಷ್ಮಿ ಗುರಪ್ಪ,Lakshmi Gurappa,KN_FULL,kannada,55,1969
230,1609,V000186, ಯಶೋದಾ ದುರ್ಗಪ್ಪ,Yashoda Durgappa,KN_FULL,kannada,38,1990
231,1634,V000042,Kiran Durgapp,Kiran Durgappa,LA_FULL,latin,68,1963
232,1635,V000187,Ramegowd Shankar,Shankar Ramegowda,LA_REORDER,latin,32,1994
233,1636,V000188,Savitha S/o Puttappa,Savitha Puttappa,LA_SONOF,latin,25,1999
234,1637,V000189,ಯಶೋದಾ,Yashoda Puttappa,KN_GIVEN,kannada,34,1994
235,1638,V000145,Mallikarjuna s/o. Lingappa,Mallikarjuna Lingappa,LA_SONOF_DOT,latin,54,1971
236,1642,V000190,ನವೀನ Venkatappa ,Naveen Venkatappa,MIX_KNGIVEN_LAFATHER,mixed,53,1973
237,1657,V000191,ಶ್ವೇತಾ ಶಿವಪ್ಪ,Shwetha Shivappa,KN_FULL,kannada,44,1982
238,1658,V000192,ಸವಿತಾ ಶಿವಪ್ಪ,Savitha Shivappa,KN_FULL,kannada,56,1975
239,1659,V000193,M. Chikkegowda ,Mahesh Chikkegowda,LA_INITIAL_PREFIX,latin,20,2004
240,1661,V000194,ಗೋಪಾಲ ರಂಗಪ್ಪ,Gopal Rangappa,KN_FULL,kannada,30,1997
241,1663,V000195,Ayyapa,Ayyappa Hanumappa,LA_GIVEN,latin,48,1978
242,1681,V000196,Puttaswamy M,Puttaswamy Mariyappa,LA_INITIAL_SUFFIX,latin,54,1973
243,1698,V000048,ಹರೀಶ ಬೋರೇಗೌಡ,Harish Boregowda,KN_FULL,kannada,66,1960
244,1702,V000197,S. Puttappa,Sharada Puttappa,LA_INITIAL_PREFIX,latin,50,1976
245,1705,V000062,GangadharaKempegowda,Gangadhar Kempegowda,LA_FULL,latin,42,1984
246,1716,V000198,Sharad Yamanappa,Sharada Yamanappa,LA_FULL,latin,49,1975
247,1739,V000121,Nagesh s/o. Ningappa,Nagesh Ningappa,LA_SONOF_DOT,latin,36,1989
248,1741,V000091,ಶೋಭಾ ಹನುಮಪ್ಪ,Shobha Hanumappa,KN_FULL,kannada,33,1993
249,1743,V000199,Savitha Chennappa,Savitha Chennappa,LA_FULL,latin,21,2005
250,1744,V000200,Rekha,Rekha Rangappa,LA_GIVEN,latin,20,2005
251,1751,V000201,SANKAR KEMPEGOWDA,Shankar Kempegowda,LA_UPPER,latin,39,1987
252,1753,V000202,Doddabasappa S/o Ningappa,Doddabasappa Ningappa,LA_SONOF,latin,31,1993
253,1754,V000203,Githa ಗುರಪ್ಪ,Geetha Gurappa,MIX_LAGIVEN_KNFATHER,mixed,41,1985
254,1755,V000204,Nagesh,Nagesh Mariyappa,LA_GIVEN,latin,37,1984
255,1756,V000205,ಪ್ರವೀಣ Yamanappa,Praveen Yamanappa,MIX_KNGIVEN_LAFATHER,mixed,53,1978
256,1757,V000206,ತಿಮ್ಮರಾಜು,Thimmaraju Puttappa,KN_GIVEN,kannada,64,1962
257,1770,V000207,ಅಂಬಿಕಾ,Ambika Boregowda,KN_GIVEN,kannada,20,2006
