CollisionGroup,CanonicalName,DistrictID,TightAge,MemberCount,Members
C0031,Basavaraj Nagappa,24,Y,2,P002471|P002532
C0032,Manjunath Boregowda,1,Y,2,P000621|P001713
C0033,Ramesh Krishnappa,9,N,2,P001837|P003002
C0034,Suresh Mallappa,25,Y,2,P000444|P003694
C0035,Sunil Shivappa,8,Y,2,P000311|P001892
C0036,Shivakumar Nagappa,21,N,2,P001461|P000089
C0037,Harish Doddappa,4,N,2,P003799|P003573
C0038,Kumar Basappa,14,Y,3,P003555|P000704|P002905
C0039,Arun Basappa,1,Y,2,P002189|P002053
C0040,Manjunath Ningappa,16,N,3,P000077|P002650|P000604
C0041,Harish Basappa,21,N,3,P003810|P002780|P002018
C0042,Ramesh Basappa,4,Y,2,P000092|P000372
C0043,Shivakumar Basappa,6,Y,2,P002586|P000453
C0044,Manjunath Basappa,14,N,3,P000796|P002114|P001170
C0045,Ganesh Basappa,26,Y,2,P000209|P003530
C0046,Suresh Chikkegowda,8,N,3,P001167|P001743|P002614
C0047,Mahesh Basappa,24,N,3,P002526|P003122|P000794
C0048,Veeresh Nagappa,1,N,2,P003398|P003816
C0049,Santosh Kempegowda,14,Y,2,P002484|P003239
C0050,Ningaraj Ningappa,4,Y,2,P002962|P003273
C0051,Siddaraju Ningappa,15,N,2,P000607|P000385
C0052,Umesh Basappa,21,Y,2,P003079|P000551
C0053,Manjunath Nagappa,3,Y,2,P000197|P001227
C0054,Ganesh Basappa,26,Y,2,P000499|P001148
C0055,Nagaratna Basappa,2,N,2,P000241|P002012
C0056,Ramesh Basappa,23,N,2,P000561|P002848
C0057,Suresh Krishnappa,13,N,3,P002101|P002271|P001531
C0058,Ramesh Mariyappa,11,Y,2,P001752|P002509
C0059,Rakesh Kempegowda,26,N,2,P001855|P002913
C0060,Venkatesh Lingappa,25,Y,2,P002179|P002635
C0061,Manjunath Hanumappa,27,Y,3,P002251|P000238|P000939
C0062,Vijay Basappa,2,Y,2,P001576|P002724
C0063,Suresh Rangappa,25,N,2,P002723|P000454
C0064,Mahesh Fakirappa,4,Y,2,P000707|P003703
C0065,Hanumantha Shivappa,4,N,2,P001103|P000817
C0066,Suresh Basappa,3,N,3,P001646|P001810|P001093
C0067,Mallikarjuna Basappa,4,Y,2,P000340|P002507
C0068,Manjunath Durgappa,8,Y,2,P003505|P001164
C0069,Yallappa Eranna,27,N,3,P001108|P001727|P000235
C0070,Ramesh Basappa,27,Y,2,P002131|P003451
C0071,Nagesh Nagappa,2,Y,2,P003017|P002515
C0072,Manjunath Siddappa,11,N,2,P000396|P003192
C0073,Yallappa Basappa,15,N,3,P000185|P000709|P003468
C0074,Santosh Mariyappa,5,N,3,P000519|P001653|P002705
C0075,Sunil Krishnappa,7,Y,3,P001105|P002602|P002784
C0076,Shwetha Basappa,25,N,2,P001641|P002231
C0077,Srinivas Kempegowda,4,N,2,P001365|P001666
C0078,Suresh Krishnappa,24,N,3,P002277|P002725|P002595
C0079,Veeresh Ningappa,20,Y,2,P003661|P002755
C0080,Ravi Yamanappa,11,N,3,P003532|P002473|P003686
C0081,Manjunath Ningappa,4,N,2,P000466|P000883
C0082,Harish Ningappa,31,N,2,P002298|P000045
C0083,Somashekar Shivappa,3,N,2,P002268|P000657
C0084,Manjunath Muniyappa,10,N,3,P001586|P002744|P000620
C0085,Shivakumar Puttappa,4,N,2,P001699|P003787
C0086,Pushpa Mallappa,7,N,2,P001963|P001372
C0087,Manjunath Muniyappa,3,N,2,P000922|P003007
C0088,Yallappa Basappa,12,Y,2,P000808|P001729
C0089,Shivakumar Ningappa,28,Y,2,P000974|P001471
C0090,Manjunath Chennappa,11,N,2,P000431|P000663
C0091,Vijay Siddappa,4,N,2,P002434|P002459
C0092,Doddabasappa Mallappa,17,N,3,P001275|P002527|P002167
C0093,Ravi Basappa,23,N,3,P002447|P002253|P000471
C0094,Shobha Rangappa,7,Y,2,P000326|P001706
C0095,Manjunath Krishnappa,4,N,2,P001362|P003683
C0096,Ganesh Ningappa,4,N,2,P002301|P000854
C0097,Manjunath Siddappa,22,N,2,P003129|P002156
C0098,Harish Gurappa,28,Y,2,P002841|P002323
C0099,Manjunath Shivappa,28,N,2,P003377|P002496
C0100,Venkatesh Sangappa,3,N,2,P001941|P003301
C0101,Ramesh Mariyappa,15,Y,2,P000196|P001545
C0102,Shankar Nagappa,29,Y,3,P001655|P001703|P001817
C0103,Kavitha Basappa,25,Y,2,P002377|P000921
C0104,Chandrashekar Shivappa,28,N,2,P002567|P000846
C0105,Raju Shivappa,17,N,2,P003067|P002842
C0106,Ravi Boregowda,18,N,2,P003549|P000905
C0107,Prakash Mallappa,4,Y,2,P003564|P002621
C0108,Gangadhar Ningappa,7,Y,2,P002200|P000186
C0109,Basavaraj Hanumappa,18,Y,2,P001669|P001880
